CustomerID,Region,City,Billing Account,Department,Emp ID,Full Name,Phone Number,Plan ID,Plan Name,Max Reg Min,Max Intl Min,Max Text,Max Data,Max Intl Data,Bill Plan Charge,Period Date,Period Year Month,Period Year,Period Month,Total Bill,Total Overrages,Overrage Bands,Excess Reg Min,Excess Reg Min Cost,Excess Intl Min,Excess Intl Min Cost,Excess Text,Excess Text Cost,Excess Data,Excess Data Cost,Excess Intl Data,Excess Intl Data Cost,Regular Minutes,International Minutes,Text,Data,International Data,Dept,Product,Customer Identifier,Company Name
String,String,String,String,String,String,String,String,String,String,Integer,Integer,Integer,Integer,Integer,Float,Date,String,Integer,Integer,Float,Float,String,Integer,Float,Integer,Float,Integer,Float,Integer,Float,Integer,Float,Integer,Integer,Integer,Integer,Integer,String,String,String,String
8000,NA,Singapore,515814700,Marketing,1,Jon Snow,9787-6000,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,215.2,173.2,More than 100,0,0,29,58,360,18,9.72,97.2,0,0,68,29,1360,12.72,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,1,Jon Snow,9787-6000,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,251.94,209.94,More than 100,149,23.84,36,72,24,1.2,11.29,112.9,0,0,349,36,1024,14.29,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,1,Jon Snow,9787-6000,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,169.1,127.1,More than 100,0,0,17,34,0,0,9.31,93.1,0,0,64,17,763,12.31,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,2,Sansa Stark,9787-6001,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,223.24,181.24,More than 100,579,92.64,39,78,0,0,1.06,10.6,0,0,779,39,281,4.06,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,2,Sansa Stark,9787-6001,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,84.5,42.5,25 to 49,0,0,13,26,134,6.7,0.98,9.8,0,0,191,13,1134,3.98,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,2,Sansa Stark,9787-6001,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,185.9,143.9,More than 100,0,0,8,16,316,15.8,11.21,112.1,0,0,170,8,1316,14.21,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,3,Rob Stark,9787-6002,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,183.6,141.6,More than 100,0,0,7,14,312,15.6,11.2,112,0,0,80,7,1312,14.2,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,3,Rob Stark,9787-6002,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,274.42,232.42,More than 100,447,71.52,23,46,336,16.8,9.81,98.1,0,0,647,23,1336,12.81,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,3,Rob Stark,9787-6002,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,113.3,71.3,50 to 74,0,0,21,42,0,0,2.93,29.3,0,0,104,21,126,5.93,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,4,Catelyn Stark,9787-6003,8,Reg+,400,0,1500,5,0,82,4/1/2016,201604,2016,4,222.3,140.3,More than 100,70,11.2,49,98,0,0,3.11,31.1,0,0,470,49,186,8.11,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,4,Catelyn Stark,9787-6003,8,Reg+,400,0,1500,5,0,82,5/1/2016,201605,2016,5,200.41,118.41,More than 100,36,5.76,46,92,45,2.25,1.84,18.4,0,0,436,46,1545,6.84,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,4,Catelyn Stark,9787-6003,8,Reg+,400,0,1500,5,0,82,6/1/2016,201606,2016,6,257.16,175.16,More than 100,296,47.36,33,66,0,0,6.18,61.8,0,0,696,33,1360,11.18,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,5,Rickon Stark,9787-6004,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,312.78,270.78,More than 100,248,39.68,32,64,0,0,16.71,167.1,0,0,448,32,579,19.71,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,5,Rickon Stark,9787-6004,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,292.71,250.71,More than 100,416,66.56,43,86,27,1.35,9.68,96.8,0,0,616,43,1027,12.68,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,5,Rickon Stark,9787-6004,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,142,100,75 to 99,0,0,50,100,0,0,0,0,0,0,52,50,664,1.12,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,6,Hodor,9787-6005,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,297.72,255.72,More than 100,207,33.12,39,78,14,0.7,14.39,143.9,0,0,407,39,1014,17.39,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,6,Hodor,9787-6005,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,108,66,50 to 74,275,44,11,22,0,0,0,0,0,0,475,11,810,1.88,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,6,Hodor,9787-6005,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,196.54,154.54,More than 100,129,20.64,25,50,0,0,8.39,83.9,0,0,329,25,470,11.39,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,7,Tyrion Lannister,9787-6006,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,357.73,315.73,More than 100,608,97.28,43,86,101,5.05,12.74,127.4,0,0,808,43,1101,15.74,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,7,Tyrion Lannister,9787-6006,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,402.92,360.92,More than 100,692,110.72,38,76,256,12.8,16.14,161.4,0,0,892,38,1256,19.14,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,7,Tyrion Lannister,9787-6006,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,223.2,181.2,More than 100,0,0,38,76,0,0,10.52,105.2,0,0,108,38,563,13.52,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,8,Jaime Lannister,9787-6007,8,Reg+,400,0,1500,5,0,82,4/1/2016,201604,2016,4,222.7,140.7,More than 100,0,0,41,82,0,0,5.87,58.7,0,0,174,41,549,10.87,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,8,Jaime Lannister,9787-6007,8,Reg+,400,0,1500,5,0,82,5/1/2016,201605,2016,5,129.2,47.2,25 to 49,270,43.2,2,4,0,0,0,0,0,0,670,2,127,3.75,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,8,Jaime Lannister,9787-6007,8,Reg+,400,0,1500,5,0,82,6/1/2016,201606,2016,6,252.6,170.6,More than 100,20,3.2,23,46,28,1.4,12,120,0,0,420,23,1528,17,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,9,Cersei Lannister,9787-6008,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,205.16,163.16,More than 100,316,50.56,19,38,0,0,7.46,74.6,0,0,516,19,203,10.46,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,9,Cersei Lannister,9787-6008,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,168,126,More than 100,0,0,33,66,0,0,6,60,0,0,77,33,717,9,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,9,Cersei Lannister,9787-6008,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,147,105,More than 100,0,0,31,62,0,0,4.3,43,0,0,90,31,867,7.3,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,10,Daenerys Targaryen,9787-6009,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,216.96,174.96,More than 100,341,54.56,9,18,462,23.1,7.93,79.3,0,0,541,9,1462,10.93,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,10,Daenerys Targaryen,9787-6009,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,99.16,57.16,50 to 74,71,11.36,0,0,0,0,4.58,45.8,0,0,271,0,381,7.58,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,10,Daenerys Targaryen,9787-6009,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,341.45,299.45,More than 100,385,61.6,42,84,189,9.45,14.44,144.4,0,0,585,42,1189,17.44,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,11,Petyr Baelish,9787-6010,6,Lite+,200,0,1000,3,0,42,4/1/2016,201604,2016,4,221.57,179.57,More than 100,362,57.92,4,8,595,29.75,8.39,83.9,0,0,562,4,1595,11.39,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,11,Petyr Baelish,9787-6010,6,Lite+,200,0,1000,3,0,42,5/1/2016,201605,2016,5,247.8,205.8,More than 100,0,0,20,40,0,0,16.58,165.8,0,0,114,20,181,19.58,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,11,Petyr Baelish,9787-6010,6,Lite+,200,0,1000,3,0,42,6/1/2016,201606,2016,6,179.94,137.94,More than 100,164,26.24,2,4,0,0,10.77,107.7,0,0,364,2,510,13.77,0,Marketing,Mobile,197501877H,Accenture
8000,NA,Singapore,515814700,Marketing,12,Davos Seaworth,9787-6011,8,Reg+,400,0,1500,5,0,82,4/1/2016,201604,2016,4,188,106,More than 100,0,0,44,88,0,0,1.8,18,0,0,397,44,1345,6.8,0,Marketing,Mobile,197501877H,Accenture
